Loading Zone?,Nodes,Needs,Receives,Edges,# Time,One Way
,,,,Mountain Pass // Bottom of the Well,23,
,,,,Bottom of the Well // Lens of Truth,200,
,,,,Shadow Temple // Graveyard,25,one way
,,,,Mountain Pass // Dodongo Cavern,23,
LZ,Dodongo Cavern,Goron Bracelet,,Mountain Pass // Goron City,51,
LZ,Death Mountain,,,Mountain Pass // Death Mountain,126,
LZ,Goron City,,,Dodongo Cavern // Goron City,36,
,Gaebora Mountain,Child,,Dodongo Cavern // Death Mountain,111,
,,,,Death Mountain // Gaebora Mountain,5,
,,,,Gaebora Mountain // Graveyard,1,one way
,,,,Goron City // Death Mountain,110,
,,,,Goron City // Darunia,39,
,Darunia,Saria's Song,Goron Bracelet,Goron City // Lost Cave,28,
LZ,Lost Cave,Zelda's Lullaby,,Darunia // Lost Cave,25,
,Goron Tunic,Adult,Goron Tunic,Goron City // Goron Tunic,18,
LZ,Secret Mountain,Adult,,Goron Tunic // Lost Cave,17,
,,,,Goron Tunic // Darunia,25,
,,,,Darunia // Secret Mountain,5,
,,,,Secret Mountain // Death Mountain,30,
,,,,Secret Mountain // Bolero of Fire,12,
,Bolero of Fire,"Hookshot, Adult",Bolero of Fire,Bolero of Fire // Fire Temple,32,
,,,,Lost Woods // Lost Cave,14,
,,,,Lost Woods // Lost Pool,25,
LZ,Lost Pool,Silver Scale,,Lost Woods // Sacred Meadow,36,
LZ,Sacred Meadow,,,Lost Cave // Lost Pool,16,
,Saria,,Saria's Song,Lost Cave // Sacred Meadow,22,
,Minuet of Forest,Adult,Minuet of Forest,Lost Pool // Sacred Meadow,24,
,,,,Sacred Meadow // Saria,48,
,,,,Saria // Minuet of Forest,5,
,,,,Minuet of Forest // Forest Temple,10,
,,,,Dodongo Cavern // Bombs,243,
,Bombs,,Bombs,Bombs // Boss Dodongo,85,
LZ,Boss Dodongo,Bombs,Stone 2,Boss Dodongo // Dodongo Cavern,1,one way
,,,,Zora River // Lost Pool,125,
,,,,Zora River // Zora Domain,121,
LZ,Zora Domain,Zelda's Lullaby,,Lost Pool // Zora Domain,12,
,,,,Zora Domain // Zora King,21,
,Zora King,,,Zora Domain // Silver Scale,27,
,Silver Scale,,Silver Scale,Zora Domain // Lake Pool,24,
LZ,Lake Pool,"Silver Scale, Child",Letter,Zora King // Silver Scale,10,
LZ,Zora's Fountain,Letter,,Zora King // Lake Pool,27,
,,,,Zora King // Zora's Fountain,14,
,,,,Silver Scale // Lake Pool,33,
,,,,Lake Hylia // Lake Pool,30,
,,,Letter,Lake Hylia // Gaebora,45,
LZ,River Mouth,,,Lake Pool // Gaebora,35,
,Gaebora,Child,,Gaebora // Castle Town,1,one way
,,,,River Mouth // Lake Hylia,39,one way
,Lake Warp,,,River Mouth // Lake Pool,33,one way
,,,,River Mouth // Gaebora,46,one way
,,,,Lake Warp // Water Temple,14,
,,,,Lake Hylia // Water Temple,38,
,,,,Lake Warp // Hyrule Field,50,
,,,,River Mouth // Water Temple,35,
,,,,Gerudo Valley // Gerudo Fortress Horse,25,
,,,,Gerudo Valley // Gerudo Fortress Longshot,30,
LZ,Gerudo Fortress Horse,"Horse, Adult",,Gerudo Valley // River Mouth,30,one way
LZ,Gerudo Fortress Longshot,"Longshot, Adult",,Gerudo Fortress Horse // River Mouth,32,one way
,,,,Gerudo Fortress Longshot // River Mouth,32,one way
,,,,Zora's Fountain // Jabu Jabu,6,
LZ,Ice Cavern,Adult,,Zora's Fountain // Ice Cavern,35,
LZ,Jabu Jabu,Child,,Jabu Jabu // Boomerang,162,
,,,,Boomerang // Boss Jabu,424,
,Boomerang,,Boomerang,Boss Jabu // Jabu Jabu,1,one way
LZ,Boss Jabu,Boomerang,Stone 3,Ice Cavern // Iron Boots,242,
,,,,Iron Boots // Serenade of Water,5,
,Iron Boots,,Iron Boots,Iron Boots // Ice Cavern,30,one way
,Serenade of Water,,Serenade of Water,Lon Lon Ranch // Malon,24,
,,,,Lon Lon Ranch // Ingo,15,
,Malon,Child,Epona's Song,Ingo // Race,90,
,Ingo,Adult,,Race // Lon Lon Ranch,15,one way
,Race,"Epona's Song, Adult",Horse,Gerudo Fortress Horse // Thieves Door K,19,
,,,,Gerudo Fortress Horse // Wasteland,22,
,,,,Gerudo Fortress Longshot // Thieves Door K,19,
,,,,Gerudo Fortress Longshot // Wasteland,22,
LZ,Thieves Door B,,,Thieves Door K // Thieves Door C,4,
LZ,Thieves Door C,,,Thieves Door K // Thieves Door D,5,
LZ,Thieves Door D,,,Thieves Door K // Thieves Door B,8,
LZ,Thieves Door E,,,Thieves Door K // Thieves Door H,10,
LZ,Thieves Door F,,,Thieves Door K // Wasteland,20,
LZ,Thieves Door G,,,Thieves Door K // Carpenter 2,40,
LZ,Thieves Door H,,,Thieves Door C // Thieves Door D,3,
LZ,Thieves Door I,,,Thieves Door C // Thieves Door B,7,
LZ,Thieves Door J,,,Thieves Door C // Carpenter 1,40,
LZ,Thieves Door K,,,Thieves Door D // Thieves Door E,8,
LZ,Thieves Door L,,,Thieves Door D // Thieves Door F,14,
,Carpenter 1,,,Thieves Door D // Thieves Door G,19,
,Carpenter 2,,,Thieves Door B // Carpenter 1,6,
,Carpenter 3,,,Thieves Door E // Thieves Door F,11,
,Carpenter 4,,,Thieves Door E // Thieves Door G,16,
,Gerudo Card,,Gerudo Card,Thieves Door E // Thieves Door H,4,
LZ,Wasteland,Gerudo Card,,Thieves Door F // Thieves Door J,9,
,,,,Thieves Door F // Thieves Door I,3,
,,,,Thieves Door F // Thieves Door G,12,
,,,,Thieves Door G // Thieves Door L,3,
,,,,Thieves Door H // Carpenter 3,8,
,,,,Thieves Door H // Thieves Door I,11,
,,,,Thieves Door I // Carpenter 3,40,
,,,,Thieves Door J // Carpenter 2,8,
,,,,Thieves Door L // Carpenter 4,13,
,,,,Carpenter 4 // Gerudo Card,35,
,,,,Gerudo Card // Thieves Door L,13,
,,,,Forest Temple // Bow,532,
LZ,Forest Temple,Hookshot,,Bow // Boss Forest,937,
,Bow,,Bow,Boss Forest // Deku Tree,1,one way
LZ,Boss Forest,Bow,Medallion 1,Fire Temple // Megaton Hammer,821,
LZ,Fire Temple,Goron Tunic,,Megaton Hammer // Boss Fire,356,
,Megaton Hammer,,Megaton Hammer,Boss Fire // Bolero of Fire,1,one way
LZ,Boss Fire,Megaton Hammer,Medallion 2,Water Temple // Longshot,850,
LZ,Water Temple,"Iron Boots, Adult, Hookshot",,Longshot // Boss Water,749,
,Longshot,,Longshot,Boss Water // Lake Warp,1,one way
LZ,Boss Water,"Longshot, Bow",Medallion 3,,,
LZ,Warp Fire,Bolero of Fire,,Warp Fire // Bolero of Fire,1,one way
LZ,Warp Water,Serenade of Water,,Warp Water // Lake Warp,1,one way
LZ,Warp Forest,Minuet of Forest,,Warp Forest // Minuet of Forest,1,one way
LZ,Warp Shadow,Nocturne of Shadow,,Warp Shadow // Shadow Temple,1,one way
LZ,Warp Spirit,Requiem of Spirit,,Warp Spirit // Requiem of Spirit,1,one way
LZ,Warp Light,Prelude of Light,,Warp Light // Temple,1,one way
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Shadow Temple // Hover Boots,120,
LZ,Shadow Temple,"Lens of Truth, Din's Fire, Hookshot",,Hover Boots // Boss Shadow,1182,
,Hover Boots,,Hover Boots,Boss Shadow // Shadow Temple,1,one way
LZ,Boss Shadow,Hover Boots,Medallion 4,Wasteland // Wasteland Halfway,60,
,,,,Wasteland Halfway // Desert Colossus,60,
,Wasteland Halfway,Longshot,,Desert Colossus // Spirit Temple,33,
LZ,Desert Colossus,Lens of Truth,,Spirit Temple // Requiem of Spirit,5,
LZ,Spirit Temple,,,Spirit Temple // Silver Gauntlets,625,
,Requiem of Spirit,,Requiem of Spirit,Spirit Temple // Mirror Shield,448,
,Silver Gauntlets,"Child, Bombs, Boomerang",Silver Gauntlets,Silver Gauntlets // Spirit Temple,5,one way
,Mirror Shield,"Adult, Hookshot, Silver Gauntlets",Mirror Shield,Mirror Shield // Spirit Temple,5,one way
LZ,Boss Spirit,Mirror Shield,Medallion 5,Spirit Temple // Boss Spirit,680,
,,,,Boss Spirit // Spirit Temple,1,one way
,Gold Gauntlets,,Gold Gauntlets,Ganon's Castle // Gold Gauntlets,130,
LZ,Ganondorf,"Gold Gauntlets, Light Arrows",,Ganon's Castle // Ganondorf,1035,
LZ,Ganon,,Goal,Ganondorf // Ganon,300,
